store_id,state,latitude,longitude,parquing,parquing_coordenates
3591,AK,61.211988,-149.743184,1,"[61.210712, -149.743302]"
1995,AK,61.140195,-149.869863,1,"[61.140247, -149.867127]"
1042,AL,31.32176,-86.444966,1,"[31.320724, -86.445818]"
2905,AL,33.393005,-86.799345,1,"[33.393148, -86.798669]"
322,AR,33.820498,-92.435566,1,"[33.821042, -92.435598]"
3446,AR,36.1961316,-94.1839495,1,"[36.195067, -94.18411]"
3579,AZ,32.507315,-114.783442,1,"[32.507188, -114.78474]"
1187,AZ,31.560187,-110.260441,1,"[31.560342, -110.259003]"
1793,CA,32.697644,-115.496576,1,"[32.696434, -115.496619]"
2897,CA,33.954813,-118.187613,1,"[33.953701, -118.187602]"
2855,CO,39.625265,-104.794046,1,"[39.625785, -104.793531]"
3184,CO,39.769707,-104.89727,1,"[39.769979, -104.898675]"
4175,CT,41.320072,-72.876921,1,"[41.321023, -72.876964]"
2660,CT,41.583495,-71.98949,1,"[41.583784, -71.99081]"
3843,DE,39.102742,-75.546151,1,"[39.102367, -75.544831]"
1674,DE,38.929245,-75.435194,1,"[38.93048, -75.435248]"
731,FL,30.181352,-82.677537,1,"[30.181361, -82.676207]"
4413,FL,30.37713,-86.288932,1,"[30.37638, -86.288996]"
4586,GA,34.267078,-84.087093,1,"[34.26683, -84.08867]"
3976,GA,31.471371,-83.504093,1,"[31.471234, -83.503567]"
3410,HI,21.3419649,-158.075334,1,"[21.342145, -158.074143]"
2209,HI,21.982346,-159.365025,1,"[21.982605, -159.36591]"
528,IA,41.457702,-91.025199,1,"[41.457051, -91.02448]"
711,IA,42.451983,-91.893435,1,"[42.452015, -91.892158]"
2597,ID,43.548914,-116.569909,1,"[43.54893, -116.571486]"
3161,ID,47.749048,-116.793273,1,"[47.750253, -116.793241]"
1530,IL,41.695929,-88.06511,1,"[41.695841, -88.066462]"
4266,IL,41.934104,-87.644651,1,"[41.934104, -87.644651]"
2605,IN,39.887629,-86.118971,1,"[39.887629, -86.12043]"
812,IN,40.28147,-86.478464,1,"[40.280349, -86.478518]"
