year,1,inflation,Multiplier,Cumulative_Inflation_Index,Normalized_GDP
2011,413052,1.6402765024214894,1.016402765024215,1.4385708258429029,594205
2012,436490,3.1565285981582702,1.0315652859815827,1.3945514117160653,608708
2013,456433,2.0694499397614363,1.0206944993976144,1.3662769933012189,623614
2014,462007,1.4647595320435247,1.0146475953204352,1.346553226561125,622117
2015,469280,1.6221877857286904,1.016221877857287,1.325058292781833,621824
2016,463791,0.11869762097864722,1.0011869762097865,1.3234873447896143,613821
2017,466500,1.2615128872612624,1.0126151288726126,1.3069993791847738,609715
2018,474840,2.130354531326173,1.0213035453132617,1.279736455613577,607670
2019,481775,2.442477154046996,1.02442477154047,1.249224434205339,601846
2020,482248,1.811976567757978,1.0181197656775798,1.2269916333212076,591715
2021,494119,1.2336841940568721,1.0123368419405687,1.21203890097407,598891
2022,492599,4.698022881562247,1.0469802288156225,1.1576521386131307,570259
2023,523787,8.00273092962318,1.0800273092962318,1.0718730245510928,561434
2024,542637,4.116451111376884,1.0411645111137688,1.0294943912412784,558642
2025,551538,2.9494391241278395,1.0294943912412784,1.0,551538
