date,revenue
2011-07-31,109366
2011-10-31,110226
2012-01-31,122728
2012-04-30,113010
2012-07-31,114282
2012-10-31,113800
2013-01-31,127559
2013-04-30,114070
2013-07-31,116830
2013-10-31,115688
2014-01-31,129706
2014-04-30,114960
2014-07-31,120125
2014-10-31,119001
2015-01-31,131565
2015-04-30,114826
2015-07-31,120229
2015-10-31,117408
2016-01-31,129667
2016-04-30,115904
2016-07-31,120854
2016-10-31,118179
2017-01-31,130936
2017-04-30,117542
2017-07-31,123355
2017-10-31,123179
2018-01-31,136267
2018-04-30,122690
2018-07-31,128028
2018-10-31,124894
2019-01-31,138793
2019-04-30,123925
2019-07-31,130377
2019-10-31,127991
2020-01-31,141671
2020-04-30,134622
2020-07-31,137742
2020-10-31,134708
2021-01-31,152079
2021-04-30,138310
2021-07-31,141048
2021-10-31,140525
2022-01-31,152871
2022-04-30,141569
2022-07-31,152859
2022-10-31,152813
2023-01-31,164048
2023-04-30,152301
2023-07-31,161632
2023-10-31,160804
2024-01-31,173388
2024-04-30,161508
2024-07-31,169335
2024-10-31,169588
2025-01-31,180554
2025-04-30,165609
2025-07-31,177402
2025-10-31,179496
2026-01-31,190656
2026-04-30,177751
